id,type,text,unit,source_url,status
U1_S1,sentence,I'm tall.,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_S2,sentence,Is he strong?,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_S3,sentence,"Yes, he's strong.",Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_S4,sentence,Is she old?,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_S5,sentence,No. She's young.,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_W1,word,tall,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_W2,word,short,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_W3,word,young,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_W4,word,old,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U1_W5,word,strong,Unit1,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan01.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_S1,sentence,Do you like my new dress?,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_S2,sentence,"Yes, I do.",Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_S3,sentence,Do you like her skirt?,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_S4,sentence,"No, I don't.",Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_W1,word,shirt,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_W2,word,jacket,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
U2_W3,word,skirt,Unit2,https://yyld.51jiaoxi.com/erxia/xlbs_danyuan02.html ; https://m.book118.com/html/2025/0223/8060137107007034.shtm ; https://www.docin.com/touch_new/preview_new.do?id=4113181690,verified
